Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",1206,2,22u,C12891
C10,0603,1,4u7,C19666
"C11, C8, C9",1206,3,47u,C96123
C12,0603,1,22u,C59461
"C13, C15, C17, C20, C22, C23, C24, C30, C31, C33, C34, C36, C5",0402,13,100n,C1525
C14,0402,1,4u7,C23733
"C16, C21, C29",0603,3,10u,C19702
"C18, C19",0402,2,10p,C32949
"C2, C26, C27",0402,3,1u,C52923
"C25, C4",0402,2,10n,C15195
C28,0402,1,47p,C1567
"C32, C35",0402,2,2u2,C12530
C6,0805,1,22u,C45783
C7,0402,1,220n,C16772
D1,D_SOD-123,1,B5819W,C8598
"D2, D3",D_SMA,2,SS54,C22452
D5,D_SOD-323,1,SD103AWS,C7420360
FB1,0805,1,100,C1015
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
L1,L_Changjiang_FNR6020S,1,15u,C168015
"Q3, Q5, Q6, Q8",SOT-23,4,AO3400A,C20917
Q4,SOT-23,1,AO3401A,C15127
"R1, R2",0402,2,5k1,C25905
R10,0402,1,330,C25104
"R12, R13, R14, R8, R9",0402,5,4k7,C25900
"R15, R18, R21",1206,3,1k,C4410
"R16, R19, R22, R3",0402,4,33k,C25779
"R17, R20, R23, R4",0402,4,10k,C25744
R24,0402,1,22,C25092
R5,0402,1,3k3,C25890
"R6, R7",0402,2,2k2,C25879
U1,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U2,SOT-23-6,1,SRV05-4,C7420376
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U4,LGA-16_3x3mm_P0.5mm,1,QMC5883L,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24CS32-SSHM,C6482
U6,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HH,C2827824
U7,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,C529355
U9,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42688-P,C1850418
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
