Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10u,C15525
C10,0805,1,22u,C45783
C11,0603,1,22u,C59461
C12,0402,1,10n,C15195
"C13, C14",1206,2,22u,C12891
"C15, C16, C17",1206,3,47u,C96123
C18,1206,1,100u,C15008
"C2, C3, C4, C5, C7",0402,5,100n,
C6,0402,1,100n,C15195
"C8, C9",0402,2,10p,
D1,D_SOD-123,1,B5819W,C8598
"D2, D3",D_SMA,2,SS54,C22452
D4,D_SOD-123,1,MM1Z3V3,C81599
L1,L_Changjiang_FNR6020S,1,15u,C168015
"Q1, Q4, Q6",SOT-23,3,AO3400A,
Q2,SOT-23,1,AO3401A,
"Q3, Q5",SOP-8_3.9x4.9mm_P1.27mm,2,Q_Dual_PMOS_S1G1S2G2D2D2D1D1,C725015
"R1, R4, R6, R8, R9",0402,5,10k,
"R10, R11, R14, R19, R2",0402,5,4k7,C25900
"R12, R17",1206,2,1k,
"R13, R18",0402,2,22k,
R15,1206,1,18k,C137379
R16,1206,1,2k2,C17948
R3,0402,1,4k7,
R5,0402,1,510,C25123
R7,0402,1,3k3,
"SW1, SW2, SW3, SW4",SW_Push_1P1T_NO_6x6mm_H9.5mm,4,SW_Push,C455119
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24CS32-SSHM,C6482
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
