Designator,Mid X,Mid Y,Rotation,Layer
C1,87.7,-64.4,0.0,top
C10,88.011001,-56.134,90.0,top
C11,82.042001,-57.912,180.0,top
C12,99.949001,-50.165,180.0,top
C13,109.965441,-51.562,270.0,top
C14,107.569001,-52.197,270.0,top
C15,100.457001,-58.42,0.0,top
C16,100.457001,-60.833,0.0,top
C17,90.297001,-56.720001,90.0,top
C18,89.281001,-53.213,180.0,top
C19,96.4,-70.6,270.0,top
C2,96.3,-68.5,270.0,top
C20,97.4,-70.6,270.0,top
C21,97.4,-73.0,90.0,top
C22,78.994,-69.898999,270.0,top
C3,87.7,-65.6,0.0,top
C4,85.3,-75.2,180.0,top
C5,85.3,-76.4,180.0,top
C6,74.930001,-77.851,0.0,top
C7,92.120263,-80.255645,270.0,top
C8,91.080001,-80.2615,90.0,top
C9,87.270001,-77.2135,0.0,top
D1,104.013001,-49.53,180.0,top
D2,107.315001,-63.5,0.0,top
D3,107.315001,-67.183,0.0,top
D5,104.4,-78.1,270.0,top
FB1,99.5,-72.2,270.0,top
L1,94.869001,-55.118,270.0,top
Q1,84.074,-63.881,90.0,top
Q2,80.518,-63.881,270.0,top
Q3,107.188001,-58.928,270.0,top
Q4,100.711,-63.881,180.0,top
Q5,107.188001,-71.755,270.0,top
Q6,100.711,-67.437,180.0,top
R1,80.518,-66.421,0.0,top
R10,103.251001,-62.611,90.0,top
R11,102.87,-70.485,270.0,top
R12,109.728,-76.962,270.0,top
R13,107.5,-78.1,180.0,top
R14,107.5,-77.0,0.0,top
R17,108.585001,-80.518,180.0,top
R18,103.505,-86.741,270.0,top
R19,103.505,-88.9,270.0,top
R2,78.740001,-77.851,180.0,top
R20,102.0,-80.6,90.0,top
R21,100.9,-80.6,270.0,top
R22,99.3,-80.1,180.0,top
R23,99.3,-81.2,0.0,top
R3,76.835001,-77.851,0.0,top
R4,84.8,-73.3,90.0,top
R5,89.175001,-77.2135,0.0,top
R6,99.949001,-56.769,0.0,top
R7,101.854001,-56.769,0.0,top
R8,91.7,-61.1,180.0,top
R9,89.5,-61.1,0.0,top
SW1,83.058,-86.741,90.0,top
SW2,91.313,-86.741,90.0,top
SW3,99.441,-86.741,90.0,top
SW4,107.569,-86.741,90.0,top
U1,76.708001,-82.042,0.0,top
U2,90.6,-71.4,0.0,top
U3,83.316384,-52.712046,270.0,top
U4,102.616001,-53.467,0.0,top
U5,92.71,-49.784,0.0,top
Y1,88.413001,-79.499499,180.0,top
